C0002395,ALZHEIMER DISEASE (Alzheimer's Disease),Disease or Syndrome,C0234387,Cerebral Disease (Cerebral disorder),Disease or Syndrome,  Alzheimer disease is a primary degenerative cerebral disease of unknown etiology with characteristic neuropathological and neurochemical features.
C0439234,YEARS (year) [Temporal Concept],Temporal Concept,C1298634,Insidious onset [Temporal Concept],Temporal Concept,The disorder is usually insidious in onset and develops slowly but steadily over a period of several years.
C0439234,YEARS (year) [Temporal Concept],Temporal Concept,C0439531,/period (per period (qualifier value)) [Temporal Concept],Temporal Concept,The disorder is usually insidious in onset and develops slowly but steadily over a period of several years.
C0439234,YEARS (year) [Temporal Concept],Temporal Concept,C0012634,Disorder (Disease),Disease or Syndrome,The disorder is usually insidious in onset and develops slowly but steadily over a period of several years.
C0439234,YEARS (year) [Temporal Concept],Temporal Concept,C1948053,Period (Period (temporal qualifier)) [Temporal Concept],Temporal Concept,The disorder is usually insidious in onset and develops slowly but steadily over a period of several years.
C1298634,Insidious onset [Temporal Concept],Temporal Concept,C0439531,/period (per period (qualifier value)) [Temporal Concept],Temporal Concept,The disorder is usually insidious in onset and develops slowly but steadily over a period of several years.
C1298634,Insidious onset [Temporal Concept],Temporal Concept,C0012634,Disorder (Disease),Disease or Syndrome,The disorder is usually insidious in onset and develops slowly but steadily over a period of several years.
C1298634,Insidious onset [Temporal Concept],Temporal Concept,C1948053,Period (Period (temporal qualifier)) [Temporal Concept],Temporal Concept,The disorder is usually insidious in onset and develops slowly but steadily over a period of several years.
C0439531,/period (per period (qualifier value)) [Temporal Concept],Temporal Concept,C0012634,Disorder (Disease),Disease or Syndrome,The disorder is usually insidious in onset and develops slowly but steadily over a period of several years.
C0439531,/period (per period (qualifier value)) [Temporal Concept],Temporal Concept,C1948053,Period (Period (temporal qualifier)) [Temporal Concept],Temporal Concept,The disorder is usually insidious in onset and develops slowly but steadily over a period of several years.
C0012634,Disorder (Disease),Disease or Syndrome,C1948053,Period (Period (temporal qualifier)) [Temporal Concept],Temporal Concept,The disorder is usually insidious in onset and develops slowly but steadily over a period of several years.
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0002395,Alzheimers Disease (Alzheimer's Disease),Disease or Syndrome,Alzheimer's disease (AD) is the most common form of dementia among older people.
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,Alzheimer's disease (AD) is the most common form of dementia among older people.
C0002395,Alzheimers Disease (Alzheimer's Disease),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,Alzheimer's disease (AD) is the most common form of dementia among older people.
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,Dementia is a brain disorder that seriously affects a person's ability to carry out daily activities.
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,Dementia is a brain disorder that seriously affects a person's ability to carry out daily activities.
C0006111,BRAIN DISORDER (NOS) (Brain Diseases),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,Dementia is a brain disorder that seriously affects a person's ability to carry out daily activities.
C1843013,"AD (Alzheimer disease, familial, type 3)",Disease or Syndrome,C0439659,Begin (Beginning) [Temporal Concept],Temporal Concept,AD begins slowly.
C1843013,"AD (Alzheimer disease, familial, type 3)",Disease or Syndrome,C0332185,Recently (Recent) [Temporal Concept],Temporal Concept,People with AD may have trouble remembering things that happened recently or names of people they know.
C0542476,Memory problems (Forgetful),Sign or Symptom,C1270972,"Cognitive impairment, mild (Mild cognitive disorder)",Mental or Behavioral Dysfunction,"A related problem, mild cognitive impairment (MCI), causes more memory problems than normal for people of the same age."
C0542476,Memory problems (Forgetful),Sign or Symptom,C0233794,memory problems (Memory impairment),Mental or Behavioral Dysfunction,"A related problem, mild cognitive impairment (MCI), causes more memory problems than normal for people of the same age."
C0542476,Memory problems (Forgetful),Sign or Symptom,C0236865,Relational problem NOS,Mental or Behavioral Dysfunction,"A related problem, mild cognitive impairment (MCI), causes more memory problems than normal for people of the same age."
C1270972,"Cognitive impairment, mild (Mild cognitive disorder)",Mental or Behavioral Dysfunction,C0233794,memory problems (Memory impairment),Mental or Behavioral Dysfunction,"A related problem, mild cognitive impairment (MCI), causes more memory problems than normal for people of the same age."
