C0005586,BIPOLAR AFFECTIVE DISORDER (Bipolar Disorder),Mental or Behavioral Dysfunction,C0338831,Manic,Mental or Behavioral Dysfunction,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0005586,BIPOLAR AFFECTIVE DISORDER (Bipolar Disorder),Mental or Behavioral Dysfunction,C0349208,Manic episode (manic episode),Mental or Behavioral Dysfunction,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0005586,BIPOLAR AFFECTIVE DISORDER (Bipolar Disorder),Mental or Behavioral Dysfunction,C0332189,Episodes (Episode of) [Temporal Concept],Temporal Concept,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0005586,BIPOLAR AFFECTIVE DISORDER (Bipolar Disorder),Mental or Behavioral Dysfunction,C1552607,previous (Act Relationship Subset - previous) [Temporal Concept],Temporal Concept,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0005586,BIPOLAR AFFECTIVE DISORDER (Bipolar Disorder),Mental or Behavioral Dysfunction,C0205156,Previous [Temporal Concept],Temporal Concept,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0338831,Manic,Mental or Behavioral Dysfunction,C0349208,Manic episode (manic episode),Mental or Behavioral Dysfunction,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0338831,Manic,Mental or Behavioral Dysfunction,C0332189,Episodes (Episode of) [Temporal Concept],Temporal Concept,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0338831,Manic,Mental or Behavioral Dysfunction,C1552607,previous (Act Relationship Subset - previous) [Temporal Concept],Temporal Concept,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0338831,Manic,Mental or Behavioral Dysfunction,C0205156,Previous [Temporal Concept],Temporal Concept,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0349208,Manic episode (manic episode),Mental or Behavioral Dysfunction,C0332189,Episodes (Episode of) [Temporal Concept],Temporal Concept,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0349208,Manic episode (manic episode),Mental or Behavioral Dysfunction,C1552607,previous (Act Relationship Subset - previous) [Temporal Concept],Temporal Concept,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0349208,Manic episode (manic episode),Mental or Behavioral Dysfunction,C0205156,Previous [Temporal Concept],Temporal Concept,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0332189,Episodes (Episode of) [Temporal Concept],Temporal Concept,C1552607,previous (Act Relationship Subset - previous) [Temporal Concept],Temporal Concept,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0332189,Episodes (Episode of) [Temporal Concept],Temporal Concept,C0205156,Previous [Temporal Concept],Temporal Concept,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C1552607,previous (Act Relationship Subset - previous) [Temporal Concept],Temporal Concept,C0205156,Previous [Temporal Concept],Temporal Concept,"Hypomanic or manic episodes in individuals who have had one or more previous affective episodes (depressive, hypomanic, manic, or mixed) should be coded as bipolar affective disorder ."
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,The down feeling is depression.
C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,The down feeling is depression.
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,The down feeling is depression.
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C2003902,Always (Always (frequency)) [Temporal Concept],Temporal Concept,The causes of bipolar disorder aren't always clear.
C0439659,Start (Beginning) [Temporal Concept],Temporal Concept,C0439234,YEARS (year) [Temporal Concept],Temporal Concept,Bipolar disorder often starts in a person's late teen or early adult years.
C0439659,Start (Beginning) [Temporal Concept],Temporal Concept,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,Bipolar disorder often starts in a person's late teen or early adult years.
C0439659,Start (Beginning) [Temporal Concept],Temporal Concept,C1279919,Early [Temporal Concept],Temporal Concept,Bipolar disorder often starts in a person's late teen or early adult years.
C0439659,Start (Beginning) [Temporal Concept],Temporal Concept,C0205087,Late [Temporal Concept],Temporal Concept,Bipolar disorder often starts in a person's late teen or early adult years.
C0439659,Start (Beginning) [Temporal Concept],Temporal Concept,C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,Bipolar disorder often starts in a person's late teen or early adult years.
C0439234,YEARS (year) [Temporal Concept],Temporal Concept,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,Bipolar disorder often starts in a person's late teen or early adult years.
C0439234,YEARS (year) [Temporal Concept],Temporal Concept,C1279919,Early [Temporal Concept],Temporal Concept,Bipolar disorder often starts in a person's late teen or early adult years.
C0439234,YEARS (year) [Temporal Concept],Temporal Concept,C0205087,Late [Temporal Concept],Temporal Concept,Bipolar disorder often starts in a person's late teen or early adult years.
C0439234,YEARS (year) [Temporal Concept],Temporal Concept,C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,Bipolar disorder often starts in a person's late teen or early adult years.
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C1279919,Early [Temporal Concept],Temporal Concept,Bipolar disorder often starts in a person's late teen or early adult years.
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0205087,Late [Temporal Concept],Temporal Concept,Bipolar disorder often starts in a person's late teen or early adult years.
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,Bipolar disorder often starts in a person's late teen or early adult years.
C1279919,Early [Temporal Concept],Temporal Concept,C0205087,Late [Temporal Concept],Temporal Concept,Bipolar disorder often starts in a person's late teen or early adult years.
C1279919,Early [Temporal Concept],Temporal Concept,C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,Bipolar disorder often starts in a person's late teen or early adult years.
C0205087,Late [Temporal Concept],Temporal Concept,C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,Bipolar disorder often starts in a person's late teen or early adult years.
C0221423,Illness (Illness (finding)),Sign or Symptom,C4071830,Lifetime [Temporal Concept],Temporal Concept,The illness usually lasts a lifetime.
N C0085633,Mood changes (Mood swings),Mental or Behavioral Dysfunction,N C0221423,illnesses (Illness (finding)),Sign or Symptom,A medical checkup can rule out other illnesses that might cause your mood changes.
C0006111,Disorder of brain (Brain Diseases),Disease or Syndrome,C4699297,Day-to-day [Temporal Concept],Temporal Concept,"NIH: National Institute of Mental HealthA disorder of the brain that causes unusual shifts in mood, energy, activity levels and the ability to carry out day-to-day tasks."
C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C0012634,Disorder (Disease),Disease or Syndrome,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
C0024517,"major depressive episode (Major depression, single episode)",Mental or Behavioral Dysfunction,C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,"Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.Excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganisation of behaviour and elevation of mood.A disorder characterized by excitement of psychotic proportions manifested by mental and physical hyperactivity, disorganization of behavior and elevation of mood."
