C0332239,Young [Temporal Concept],Temporal Concept,C0580836,Old [Temporal Concept],Temporal Concept,"It occurs most commonly inadolescent girls and young women, but adolescent boys andyoung men may also be affected, as may children approachingpuberty and older women up to the menopause."
C0332239,Young [Temporal Concept],Temporal Concept,C2745955,OCCUR (Occurrence) [Temporal Concept],Temporal Concept,"It occurs most commonly inadolescent girls and young women, but adolescent boys andyoung men may also be affected, as may children approachingpuberty and older women up to the menopause."
C0580836,Old [Temporal Concept],Temporal Concept,C2745955,OCCUR (Occurrence) [Temporal Concept],Temporal Concept,"It occurs most commonly inadolescent girls and young women, but adolescent boys andyoung men may also be affected, as may children approachingpuberty and older women up to the menopause."
C0042963,VOMITING (Vomiting),Sign or Symptom,C1512900,Interruption [Temporal Concept],Temporal Concept,"Thesymptoms include restricted dietary choice, excessiveexercise, induced vomiting and purgation, and use of appetitesuppressants and diuretics.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0042963,VOMITING (Vomiting),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Thesymptoms include restricted dietary choice, excessiveexercise, induced vomiting and purgation, and use of appetitesuppressants and diuretics.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1512900,Interruption [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Thesymptoms include restricted dietary choice, excessiveexercise, induced vomiting and purgation, and use of appetitesuppressants and diuretics.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C2364135,DISCOMFORT (Discomfort),Sign or Symptom,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
