C0023015,Disorder of language (Language Disorders),Mental or Behavioral Dysfunction,C2363430,Early stage [Temporal Concept],Temporal Concept,"Disorders in which normal patterns of language acquisition are
                  disturbed from the early stages of development."
C0012634,condition (Disease),Disease or Syndrome,N C0025362,MENTAL RETARDATION (Mental Retardation),Mental or Behavioral Dysfunction,"The conditions
                  are not directly attributable to neurological or speech
                  mechanism abnormalities, sensory impairments, mental
                  retardation, or environmental factors."
C0012634,condition (Disease),Disease or Syndrome,N C3714756,Mental retardation (Intellectual Disability),Mental or Behavioral Dysfunction,"The conditions
                  are not directly attributable to neurological or speech
                  mechanism abnormalities, sensory impairments, mental
                  retardation, or environmental factors."
N C0025362,MENTAL RETARDATION (Mental Retardation),Mental or Behavioral Dysfunction,N C3714756,Mental retardation (Intellectual Disability),Mental or Behavioral Dysfunction,"The conditions
                  are not directly attributable to neurological or speech
                  mechanism abnormalities, sensory impairments, mental
                  retardation, or environmental factors."
C0004930,behavioural disorders (Behavior Disorders),Mental or Behavioral Dysfunction,C0233514,Behavioral disorders (Abnormal behavior),Mental or Behavioral Dysfunction,"Specific developmental
                  disorders of speech and language are often followed by
                  associated problems, such as difficulties in reading and
                  spelling, abnormalities in interpersonal relationships, and
                  emotional and behavioural disorders.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0004930,behavioural disorders (Behavior Disorders),Mental or Behavioral Dysfunction,C0018790,arrested (Cardiac Arrest),Disease or Syndrome,"Specific developmental
                  disorders of speech and language are often followed by
                  associated problems, such as difficulties in reading and
                  spelling, abnormalities in interpersonal relationships, and
                  emotional and behavioural disorders.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0004930,behavioural disorders (Behavior Disorders),Mental or Behavioral Dysfunction,C0012634,condition (Disease),Disease or Syndrome,"Specific developmental
                  disorders of speech and language are often followed by
                  associated problems, such as difficulties in reading and
                  spelling, abnormalities in interpersonal relationships, and
                  emotional and behavioural disorders.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0004930,behavioural disorders (Behavior Disorders),Mental or Behavioral Dysfunction,C0270330,Speech DEVELOPMENTAL DISORDERS (Developmental speech disorder),Mental or Behavioral Dysfunction,"Specific developmental
                  disorders of speech and language are often followed by
                  associated problems, such as difficulties in reading and
                  spelling, abnormalities in interpersonal relationships, and
                  emotional and behavioural disorders.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0004930,behavioural disorders (Behavior Disorders),Mental or Behavioral Dysfunction,C0037785,specific developmental disorders (Specific delays in development),Mental or Behavioral Dysfunction,"Specific developmental
                  disorders of speech and language are often followed by
                  associated problems, such as difficulties in reading and
                  spelling, abnormalities in interpersonal relationships, and
                  emotional and behavioural disorders.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0004930,behavioural disorders (Behavior Disorders),Mental or Behavioral Dysfunction,C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,"Specific developmental
                  disorders of speech and language are often followed by
                  associated problems, such as difficulties in reading and
                  spelling, abnormalities in interpersonal relationships, and
                  emotional and behavioural disorders.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0004930,behavioural disorders (Behavior Disorders),Mental or Behavioral Dysfunction,C0237477,Arrested (Arrested progression) [Temporal Concept],Temporal Concept,"Specific developmental
                  disorders of speech and language are often followed by
                  associated problems, such as difficulties in reading and
                  spelling, abnormalities in interpersonal relationships, and
                  emotional and behavioural disorders.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0004930,behavioural disorders (Behavior Disorders),Mental or Behavioral Dysfunction,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"Specific developmental
                  disorders of speech and language are often followed by
                  associated problems, such as difficulties in reading and
                  spelling, abnormalities in interpersonal relationships, and
                  emotional and behavioural disorders.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0004930,behavioural disorders (Behavior Disorders),Mental or Behavioral Dysfunction,C0332283,Followed by [Temporal Concept],Temporal Concept,"Specific developmental
                  disorders of speech and language are often followed by
                  associated problems, such as difficulties in reading and
                  spelling, abnormalities in interpersonal relationships, and
                  emotional and behavioural disorders.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0233514,Behavioral disorders (Abnormal behavior),Mental or Behavioral Dysfunction,C0018790,arrested (Cardiac Arrest),Disease or Syndrome,"Specific developmental
                  disorders of speech and language are often followed by
                  associated problems, such as difficulties in reading and
                  spelling, abnormalities in interpersonal relationships, and
                  emotional and behavioural disorders.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
