C0036341,SCHIZOPHRENIA (Schizophrenia),Mental or Behavioral Dysfunction,C0221423,Illness (Illness (finding)),Sign or Symptom,schizophrenia Schizophrenia is a serious brain illness.
C0036341,SCHIZOPHRENIA (Schizophrenia),Mental or Behavioral Dysfunction,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,Symptoms of schizophrenia usually start between ages 16 and 30.
C0036341,SCHIZOPHRENIA (Schizophrenia),Mental or Behavioral Dysfunction,C0439659,Start (Beginning) [Temporal Concept],Temporal Concept,Symptoms of schizophrenia usually start between ages 16 and 30.
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0439659,Start (Beginning) [Temporal Concept],Temporal Concept,Symptoms of schizophrenia usually start between ages 16 and 30.
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,Men often develop symptoms at a younger age than women.
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0332239,Young [Temporal Concept],Temporal Concept,Men often develop symptoms at a younger age than women.
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0332239,Young [Temporal Concept],Temporal Concept,Men often develop symptoms at a younger age than women.
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0871189,psychotic symptoms (Psychotic symptom),Sign or Symptom,There are three types of symptoms:  Psychotic symptoms distort a person's thinking.
C0233763,"Seeing things (Hallucinations, Visual)",Sign or Symptom,C0018524,HALLUCINATIONS (Hallucinations),Mental or Behavioral Dysfunction,"These include hallucinations (hearing or seeing things that are not there), delusions (beliefs that are not true), trouble organizing thoughts, and strange movements."
C0233763,"Seeing things (Hallucinations, Visual)",Sign or Symptom,N C0011253,DELUSIONS (Delusions),Mental or Behavioral Dysfunction,"These include hallucinations (hearing or seeing things that are not there), delusions (beliefs that are not true), trouble organizing thoughts, and strange movements."
C0018524,HALLUCINATIONS (Hallucinations),Mental or Behavioral Dysfunction,N C0011253,DELUSIONS (Delusions),Mental or Behavioral Dysfunction,"These include hallucinations (hearing or seeing things that are not there), delusions (beliefs that are not true), trouble organizing thoughts, and strange movements."
C0344315,Depressed (Depressed mood),Mental or Behavioral Dysfunction,C2825032,Withdrawn (Withdrawal (dysfunction)),Mental or Behavioral Dysfunction,A person may seem depressed and withdrawn.
C4699297,Day-to-day [Temporal Concept],Temporal Concept,C0221423,Illness (Illness (finding)),Sign or Symptom,Additional treatments can help you deal with your illness from day to day.
C0004936,Psychotic NOS (Mental disorders),Mental or Behavioral Dysfunction,C0152097,Disorder of diaphragm (Disease of diaphragm),Disease or Syndrome,NIH: National Institute of Mental HealthA major psychotic disorder characterized by abnormalities in the perception or expression of reality.
C0011253,DELUSIONS (Delusions),Mental or Behavioral Dysfunction,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Common clinical signs and symptoms include delusions, hallucinations, disorganized thinking, and retreat from reality.A group of severe mental disorders in which a person has trouble telling the difference between real and unreal experiences, thinking logically, having normal emotional responses to others, and behaving normally in social situations."
C0011253,DELUSIONS (Delusions),Mental or Behavioral Dysfunction,C0152097,Disorders of diaphragm (Disease of diaphragm),Disease or Syndrome,"Common clinical signs and symptoms include delusions, hallucinations, disorganized thinking, and retreat from reality.A group of severe mental disorders in which a person has trouble telling the difference between real and unreal experiences, thinking logically, having normal emotional responses to others, and behaving normally in social situations."
C0011253,DELUSIONS (Delusions),Mental or Behavioral Dysfunction,C0018524,HALLUCINATIONS (Hallucinations),Mental or Behavioral Dysfunction,"Common clinical signs and symptoms include delusions, hallucinations, disorganized thinking, and retreat from reality.A group of severe mental disorders in which a person has trouble telling the difference between real and unreal experiences, thinking logically, having normal emotional responses to others, and behaving normally in social situations."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0152097,Disorders of diaphragm (Disease of diaphragm),Disease or Syndrome,"Common clinical signs and symptoms include delusions, hallucinations, disorganized thinking, and retreat from reality.A group of severe mental disorders in which a person has trouble telling the difference between real and unreal experiences, thinking logically, having normal emotional responses to others, and behaving normally in social situations."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0018524,HALLUCINATIONS (Hallucinations),Mental or Behavioral Dysfunction,"Common clinical signs and symptoms include delusions, hallucinations, disorganized thinking, and retreat from reality.A group of severe mental disorders in which a person has trouble telling the difference between real and unreal experiences, thinking logically, having normal emotional responses to others, and behaving normally in social situations."
